xObs,xMean,xMedian,xRMS,xSigma
-61.21999999998016,0.011170016623706728,2.357605707662761e-06,5.0445978931859e-06,0.03347991240107248
-61.209999999980155,0.011175128072021041,2.3622591684849504e-06,5.054204456095853e-06,0.0334952148917804
-61.19999999998015,0.011180240670679947,2.366921814323234e-06,5.0638293129482705e-06,0.03351052082110507
-61.189999999980145,0.011185354419683439,2.37159366330694e-06,5.073472498580269e-06,0.03352583018904645
-61.17999999998014,0.011190469319031521,2.376274733601182e-06,5.083134047895303e-06,0.03354114299560459
-61.169999999980135,0.011195585368724191,2.380965043406923e-06,5.092813995863291e-06,0.03355645924077944
-61.15999999998013,0.011200702568761451,2.3856646109610563e-06,5.102512377520743e-06,0.03357177892457104
-61.149999999980125,0.0112058209191433,2.390373454536466e-06,5.1122292279708905e-06,0.033587102046979365
-61.13999999998012,0.011210940419869735,2.3950915924421043e-06,5.1219645823838075e-06,0.03360242860800442
-61.129999999980114,0.011216061070940763,2.399819043023063e-06,5.1317184759965424e-06,0.033617758607646216
-61.11999999998011,0.011221182872356378,2.40455582466064e-06,5.141490944113244e-06,0.03363309204590474
-61.109999999980104,0.011226305824116586,2.409301955772416e-06,5.15128202210529e-06,0.033648428922780006
-61.0999999999801,0.011231429926221377,2.4140574548123227e-06,5.161091745411411e-06,0.033663769238271996
-61.089999999980094,0.011236555178670761,2.4188223402707157e-06,5.170920149537828e-06,0.03367911299238072
-61.07999999998009,0.011241681581464734,2.4235966306744473e-06,5.180767270058368e-06,0.03369446018510619
-61.069999999980084,0.011246809134603294,2.428380344586936e-06,5.1906331426146055e-06,0.03370981081644837
-61.05999999998008,0.011251937838086444,2.433173500608247e-06,5.200517802915983e-06,0.033725164886407304
-61.04999999998007,0.011257067691914181,2.437976117375142e-06,5.210421286739943e-06,0.03374052239498295
-61.03999999998007,0.011262198696086512,2.442788213561183e-06,5.220343629932058e-06,0.03375588334217535
-61.02999999998006,0.01126733085060343,2.4476098078767835e-06,5.230284868406159e-06,0.03377124772798448
-61.01999999998006,0.011272464155464934,2.452440919069288e-06,5.2402450381444694e-06,0.03378661555241033
-61.00999999998005,0.011277598610671031,2.457281565923043e-06,5.250224175197726e-06,0.033801986815452933
-60.99999999998005,0.011282734216221715,2.462131767259472e-06,5.2602223156853214e-06,0.03381736151711226
-60.98999999998004,0.011287870972116988,2.4669915419371475e-06,5.270239495795424e-06,0.03383273965738832
-60.97999999998004,0.011293008878356851,2.4718609088518645e-06,5.2802757517851164e-06,0.03384812123628111
-60.96999999998003,0.011298147934941305,2.476739886936714e-06,5.290331119980525e-06,0.033863506253790636
-60.95999999998003,0.011303288141870342,2.481628495162156e-06,5.3004056367769475e-06,0.03387889470991689
-60.94999999998002,0.011308429499143974,2.4865267525360955e-06,5.310499338638989e-06,0.03389428660465989
-60.93999999998002,0.011313572006762194,2.4914346781039527e-06,5.320612262100694e-06,0.03390968193801962
-60.92999999998001,0.011318715664725,2.496352290948741e-06,5.330744443765673e-06,0.03392508070999607
-60.91999999998001,0.011323860473032396,2.501279610191139e-06,5.340895920307244e-06,0.033940482920589266
-60.90999999998,0.011329006431684385,2.506216654989564e-06,5.3510667284685565e-06,0.0339558885697992
-60.89999999998,0.01133415354068096,2.5111634445402484e-06,5.361256905062732e-06,0.033971297657625854
-60.88999999997999,0.011339301800022123,2.5161199980773183e-06,5.371466486972989e-06,0.03398671018406924
-60.87999999997999,0.011344451209707875,2.52108633487285e-06,5.381695511152785e-06,0.03400212614912937
-60.86999999997998,0.011349601769738217,2.526062474236972e-06,5.391944014625945e-06,0.03401754555280623
-60.859999999979976,0.01135475348011315,2.531048435517922e-06,5.402212034486797e-06,0.03403296839509983
-60.84999999997997,0.011359906340832669,2.536044238102127e-06,5.412499607900304e-06,0.03404839467601015
